Order,Type,Title,Source,Source Filename,Length,Description (if available),Created,Resources
1,chapter,gRPC Course Overview,,,,,,
2,video,gRPC Introduction,Video,gRPC Introduction.mp4,00:08:17,,2018-07-11T05:49:41Z,
3,video,Course Objective,Video,Course Objectives.mp4,00:03:08,,2018-07-11T05:49:41Z,"ExternalLink - Stephane GitHub - https://github.com/simplesteph - 2018-07-13T07:44:53Z
ExternalLink - Stephane Medium - https://medium.com/@stephane.maarek - 2018-07-13T07:45:03Z
ExternalLink - Stephane LinkedIn - https://www.linkedin.com/in/stephanemaarek - 2018-07-13T07:45:15Z
ExternalLink - Stephane Twitter - https://twitter.com/stephanemaarek - 2018-07-13T07:45:26Z"
4,video,Important Message,Video,Important Message - Course Review.mp4,00:00:33,,2018-07-11T05:49:41Z,
5,article,Code Download,Generated File,005_article_13386826_Code Download.html,00:00:19,,2018-07-13T07:31:33Z,
6,chapter,[Theory] gRPC Internals Deep Dive,,,,,,
7,article,Why this section?,Generated File,007_article_13369074_Why this section?.html,00:00:56,,2018-07-12T02:15:20Z,
8,video,Protocol Buffers & Language Interoperability,Video,Protocol Buffers in gRPC.mp4,00:08:40,,2018-07-11T05:49:41Z,ExternalLink - gRPC Website - https://grpc.io/ - 2018-07-13T07:45:43Z
9,video,HTTP/2,Video,HTTP2 in GRPC.mp4,00:08:46,,2018-07-11T05:49:41Z,"ExternalLink - HTTP/2 Website - https://http2.github.io/ - 2018-07-13T07:46:02Z
ExternalLink - HTTP/2 vs HTTP/1 comparison - https://imagekit.io/demo/http2-vs-http1 - 2018-07-13T07:46:17Z"
10,video,4 Types of gRPC APIs,Video,4 Types of API in gRPC.mp4,00:04:36,,2018-07-11T05:49:42Z,
11,video,Scalability in gRPC,Video,Scalability in gRPC.mp4,00:01:38,,2018-07-11T05:49:41Z,
12,video,Security in gRPC (SSL),Video,Security in gRPC.mp4,00:01:12,,2018-07-11T05:49:41Z,
13,video,gRPC vs REST,Video,gRPC vs REST.mp4,00:05:10,,2018-07-11T05:49:41Z,"ExternalLink - Performance Test gRPC vs REST - https://husobee.github.io/golang/rest/grpc/2016/05/28/golang-rest-v-grpc.html - 2018-07-13T07:46:34Z
ExternalLink - Slideshare gRPC vs REST - https://www.slideshare.net/borisovalex/grpc-vs-rest-let-the-battle-begin-81800634 - 2018-07-13T07:46:47Z"
14,video,Section Summary - why use gRPC,Video,gRPC deep dive section summary.mp4,00:00:44,,2018-07-11T05:49:41Z,
15,quiz,Quiz on GRPC,Generated File,015_quiz_4465322_Quiz on GRPC.csv,,,,
16,chapter,[Hands-On] gRPC Project Overview & Setup,,,,,,
17,article,Project Setup (Golang + VSCode + Protoc),Generated File,017_article_13369050_Project Setup (Golang + VSCode + Protoc).html,00:06:00,,2018-07-12T02:11:26Z,
18,video,Go Dependencies Setup,Video,Install Go Dependencies.mp4,00:01:00,,2018-07-11T05:49:41Z,
19,video,Code Generation Test,Video,Create Project and Generate Code.mp4,00:04:40,,2018-07-11T05:49:41Z,
20,video,Server Setup Boilerplate Code,Video,GreetServer BoilerPlate Code.mp4,00:05:51,,2018-07-11T05:49:41Z,
21,video,Client Setup Boilerplate Code,Video,GreetClient Boilerplate Code.mp4,00:05:15,,2018-07-11T05:49:41Z,
22,chapter,[Hands-On] gRPC Unary,,,,,,
23,video,What's an Unary API?,Video,Whats a Unary API.mp4,00:01:32,,2018-07-11T05:49:42Z,
24,video,Greet API Definition,Video,Greet Unary API Definition.mp4,00:04:05,,2018-07-11T05:49:41Z,
25,video,Unary API Server Implementation,Video,Greet Unary Server Implementation.mp4,00:04:05,,2018-07-11T05:49:41Z,
26,video,Unary API Client Implementation,Video,Greet Unary Client Implementation v2.mp4,00:06:16,,2018-08-20T13:29:14Z,
27,article,[Exercise] Sum API,Generated File,027_article_13369054_[Exercise] Sum API.html,00:01:28,,2018-07-12T02:12:51Z,
28,video,[Solution] Sum API,Video,Greet Unary Exercise Sum.mp4,00:09:06,,2018-07-11T05:49:41Z,
29,chapter,[Hands-On] gRPC Server Streaming,,,,,,
30,video,What's a Server Streaming API?,Video,Whats a Server Streaming API.mp4,00:02:26,,2018-07-11T05:49:41Z,
31,video,GreetManyTimes API Definition,Video,GreetManyTimes API Definition.mp4,00:02:44,,2018-07-12T04:46:58Z,
32,video,Server Streaming API Server Implementation,Video,Server Streaming API Server Implementation.mp4,00:04:28,,2018-07-12T04:46:58Z,
33,video,Server Streaming API Client Implementation,Video,Server Streaming API Client Implementation.mp4,00:06:09,,2018-07-13T07:25:01Z,
34,article,[Exercise] PrimeNumberDecomposition API,Generated File,034_article_13369058_[Exercise] PrimeNumberDecomposition API.html,00:02:29,,2018-07-12T02:13:19Z,
35,video,[Solution] PrimeNumberDecomposition API,Video,[Solution] PrimeNumberDecomposition API.mp4,00:09:04,,2018-07-13T07:25:01Z,
36,chapter,[Hands-On] gRPC Client Streaming,,,,,,
37,video,What's a Client Streaming API?,Video,What is Streaming Client.mp4,00:01:53,,2018-07-11T05:49:41Z,
38,video,LongGreet API Definition,Video,LongGreet API Definition.mp4,00:01:51,,2018-07-13T07:25:01Z,
39,video,Client Streaming API Server Implementation,Video,Client Streaming API Server Implementation.mp4,00:05:34,,2018-07-13T07:25:01Z,
40,video,Client Streaming API Client Implementation,Video,Client Streaming API Client Implementation.mp4,00:07:55,,2018-07-13T07:25:01Z,
41,article,[Exercise] ComputeAverage API,Generated File,041_article_13369060_[Exercise] ComputeAverage API.html,00:01:36,,2018-07-12T02:14:03Z,
